Match_ID;Date;HomeTeam;AwayTeam;Home Team Goals;Away Team Goals;Match Result;Referee;Home Team Shots;Away Team Shots;Home Team Shots on Target;Away Team Shots on Target;Home Fouls Committed;Away Fouls Committed;Home Corners;Away Cornners;Home Yellow Cards;Away Yellow Cards;Home Red Cards;Away Red Cards;B365 Home;B365 Draw;B365 Away;Bet&Win Home;Bet&Win Draw;Bet&Win Away;Interwetten Home;Iterwetten Draw;Interwetten Away;William Hill Home;William Hill Draw;William Hill Away;VC Bet Home;VC Bet Draw;VC Bet Away;Betbrain Numbers of bookmakers 1X2;Betbrain Maximum Home;Betbrain Average Home;Betbrain Maximum Draw;Betbrain Average Draw;Betbrain Maximum Away;Betbrain Average Away;Betbrain Numbers of bookmakers Goals;Betbrain Max > 2.5 Goals;Betbrain Average > 2.5 Goals;Betbrain Max < 2.5 Goals;Betbrain Average < 2.5 Goals
761;14.08.2010;Aston Villa;West Ham;3;0;H;M Dean;23;12;11;2;15;15;16;7;1;2;0;0;2;3.3;4;1.85;3.4;4.1;1.8;3.4;4;1.91;3.25;4.33;2;3.25;4.2;39;2.09;1.96;3.4;3.3;4.33;4.03;35;2.11;2.01;1.82;1.75
762;14.08.2010;Blackburn;Everton;1;0;H;P Dowd;7;17;2;12;19;14;1;3;2;1;0;0;2.88;3.25;2.5;2.75;3.25;2.45;2.55;3.2;2.5;2.88;3.2;2.5;3.1;3.3;2.38;39;3.15;2.92;3.4;3.25;2.55;2.44;36;2.2;2.08;1.79;1.7
763;14.08.2010;Bolton;Fulham;0;0;D;S Attwell;13;12;9;7;12;13;4;8;1;3;0;0;2.2;3.3;3.4;2.15;3.25;3.25;2.2;3.2;3;2.15;3.2;3.5;2.2;3.3;3.4;38;2.3;2.2;3.42;3.26;3.58;3.32;35;2.22;2.09;1.75;1.69
764;14.08.2010;Chelsea;West Brom;6;0;H;M Clattenburg;18;10;13;4;10;10;3;1;1;0;0;0;1.17;7;17;1.15;6.75;16;1.15;6.2;14;1.17;6.5;19;1.17;7.5;19;39;1.19;1.16;7.71;6.9;21;17.47;29;1.53;1.49;2.61;2.49
765;14.08.2010;Sunderland;Birmingham;2;2;D;A Taylor;6;13;2;7;13;10;3;6;3;3;1;0;2.1;3.3;3.6;2.15;3.2;3.3;2.1;3.2;3.2;2.15;3.2;3.5;2.2;3.25;3.5;38;2.31;2.18;3.4;3.25;3.6;3.39;36;2.28;2.16;1.71;1.65
766;14.08.2010;Tottenham;Man City;0;0;D;A Marriner;22;11;18;7;13;16;10;3;0;2;0;0;2.4;3.3;3;2.35;3.3;2.85;2.4;3.2;2.7;2.38;3.25;3;2.3;3.4;3.1;38;2.5;2.39;3.41;3.28;3.12;2.95;37;2.03;1.91;1.95;1.84
767;14.08.2010;Wigan;Blackpool;0;4;A;M Halsey;11;9;6;7;8;11;6;4;1;1;0;0;1.83;3.5;4.5;1.78;3.4;4.5;1.9;3.3;3.7;1.75;3.4;5;1.83;3.4;4.75;40;1.9;1.82;3.64;3.45;5;4.5;36;2.21;2.11;1.75;1.68
768;14.08.2010;Wolves;Stoke;2;1;H;L Probert;13;10;7;6;17;13;5;5;0;2;0;0;2.3;3.25;3.2;2.25;3.15;3.1;2.3;3.2;2.8;2.3;3.2;3.2;2.3;3.25;3.3;39;2.4;2.33;3.3;3.22;3.38;3.11;35;2.43;2.25;1.65;1.6
769;15.08.2010;Liverpool;Arsenal;1;1;D;M Atkinson;7;14;4;7;13;15;9;11;1;3;1;1;2.5;3.25;2.88;2.45;3.25;2.75;2.4;3.2;2.7;2.5;3.2;2.88;2.5;3.2;3;39;2.6;2.47;3.35;3.24;3.07;2.89;35;2.35;2.21;1.7;1.62
770;16.08.2010;Man United;Newcastle;3;0;H;C Foy;18;7;10;3;9;5;5;3;2;2;0;0;1.25;5.5;15;1.22;5.5;12.5;1.22;5.3;11;1.22;6;13;1.22;6;15;40;1.26;1.23;6.19;5.63;16;13.11;37;1.8;1.72;2.16;2.05
