GameID;Date;Edition;LocalTime;HomeTeam;HomeTeamCode;AwayTeam;AwayTeamCode;HomeTeamScore;AwayTeamScore;Score (1X2);1,00;X;2,00;Group;Stage;;;;;;;;;;
47;23.06.06;2006;21:00;Switzerland;SUI;South Korea;KOR;2;0;1;1,99;2,83;4,41;G;1st stage;;;;;;;;;;
48;23.06.06;2006;21:00;Togo;TOG;France;FRA;0;2;2;14,43;6,91;1,14;G;1st stage;;;;;;;;;;
49;24.06.06;2006;17:00;Germany;GER;Sweden;SWE;2;0;1;1,63;3,46;5,63;;Round of 16;;;;;;;;;;
50;24.06.06;2006;21:00;Argentina;ARG;Mexico;MEX;1;1;X;1,37;4,08;9,39;;Round of 16;;;;;;;;;;
51;25.06.06;2006;17:00;England;ENG;Ecuador;ECU;1;0;1;1,49;3,79;7,05;;Round of 16;;;;;;;;;;
52;25.06.06;2006;21:00;Portugal;POR;Netherlands;NED;1;0;1;3,10;3,03;2,35;;Round of 16;;;;;;;;;;
53;26.06.06;2006;17:00;Italy;ITA;Australia;AUS;1;0;1;1,51;3,70;7,11;;Round of 16;;;;;;;;;;
54;26.06.06;2006;21:00;Switzerland;SUI;Ukraine;UKR;0;0;X;2,41;3,02;3,08;;Round of 16;;;;;;;;;;
55;27.06.06;2006;17:00;Brazil;BRA;Ghana;GHA;3;0;1;1,26;5,16;10,25;;Round of 16;;;;;;;;;;
56;27.06.06;2006;21:00;Spain;ESP;France;FRA;1;3;2;2,32;2,99;3,16;;Round of 16;;;;;;;;;;
57;30.06.06;2006;17:00;Germany;GER;Argentina;ARG;1;1;X;2,53;3,00;2,87;;Quarter-finals;;;;;;;;;;
58;30.06.06;2006;21:00;Italy;ITA;Ukraine;UKR;3;0;1;1,58;3,38;6,86;;Quarter-finals;;;;;;;;;;
59;01.07.06;2006;17:00;England;ENG;Portugal;POR;0;0;X;2,11;2,97;3,70;;Quarter-finals;;;;;;;;;;
60;01.07.06;2006;21:00;Brazil;BRA;France;FRA;0;1;2;1,74;3,25;5,08;;Quarter-finals;;;;;;;;;;
61;04.07.06;2006;21:00;Germany;GER;Italy;ITA;0;0;X;2,38;2,88;3,21;;Semi-finals;;;;;;;;;;
62;05.07.06;2006;21:00;Portugal;POR;France;FRA;0;1;2;3,82;2,87;2,13;;Semi-finals;;;;;;;;;;
63;08.07.06;2006;21:00;Germany;GER;Portugal;POR;3;1;1;1,85;3,30;4,29;;Third place;;;;;;;;;;
64;09.07.06;2006;21:00;Italy;ITA;France;FRA;1;1;X;2,51;2,79;3,07;;Final;;;;;;;;;;
65;11.06.10;2010;16:00;South Africa;ZAF;Mexico;MEX;1;1;X;2,92;3,13;2,54;;1st stage;;;;;;;;;;
66;11.06.10;2010;20:30;Uruguay;URU;France;FRA;0;0;X;3,56;3,12;2,20;;1st stage;;;;;;;;;;
67;12.06.10;2010;13:30;South Korea;KOR;Greece;GRE;2;0;1;2,71;2,98;2,85;;1st stage;;;;;;;;;;
68;12.06.10;2010;16:00;Argentina;ARG;Nigeria;NIG;1;0;1;1,39;4,45;8,90;;1st stage;;;;;;;;;;
69;12.06.10;2010;20:30;England;ENG;USA;USA;1;1;X;1,50;4,07;7,02;;1st stage;;;;;;;;;;
70;13.06.10;2010;13:30;Algeria;ALG;Slovenia;SVN;0;1;2;3,69;3,13;2,14;;1st stage;;;;;;;;;;
71;13.06.10;2010;16:00;Serbia;SRB;Ghana;GHA;0;1;2;2,01;3,22;4,00;;1st stage;;;;;;;;;;
72;13.06.10;2010;20:30;Germany;GER;Australia;AUS;4;0;1;1,51;3,88;7,26;;1st stage;;;;;;;;;;
73;14.06.10;2010;13:30;Netherlands;NED;Denmark;DEN;2;0;1;1,50;3,96;7,17;;1st stage;;;;;;;;;;
74;14.06.10;2010;16:00;Japan;JPN;Cameroon;CMR;1;0;1;3,66;3,09;2,17;;1st stage;;;;;;;;;;
75;14.06.10;2010;20:30;Italy;ITA;Paraguay;PAR;1;1;X;2,15;3,02;3,83;;1st stage;;;;;;;;;;
76;15.06.10;2010;13:30;New Zealand;NZD;Slovakia;SVK;1;1;X;7,64;3,91;1,49;;1st stage;;;;;;;;;;
77;15.06.10;2010;16:00;Ivory Cost;CIV;Portugal;POR;0;0;X;3,93;3,15;2,07;;1st stage;;;;;;;;;;
78;15.06.10;2010;20:30;Brazil;BRA;North Korea;NKO;2;1;1;1,10;9,36;29,33;;1st stage;;;;;;;;;;
79;16.06.10;2010;13:30;Honduras;HON;Chile;CHI;0;1;2;5,71;3,45;1,69;;1st stage;;;;;;;;;;
80;16.06.10;2010;16:00;Spain;ESP;Switzerland;SUI;0;1;2;1,27;5,19;13,53;;1st stage;;;;;;;;;;
81;16.06.10;2010;20:30;South Africa;ZAF;Uruguay;URU;0;3;2;3,31;3,02;2,38;;1st stage;;;;;;;;;;
82;17.06.10;2010;13:30;France;FRA;Mexico;MEX;0;2;2;2,09;3,12;3,88;;1st stage;;;;;;;;;;
83;17.06.10;2010;16:00;Argentina;ARG;South Korea;KOR;4;1;1;1,51;3,84;7,47;;1st stage;;;;;;;;;;
84;17.06.10;2010;20:30;Greece;GRE;Nigeria;NIG;2;1;1;3,75;3,16;2,10;;1st stage;;;;;;;;;;
85;18.06.10;2010;13:30;Slovenia;SVN;USA;USA;2;2;X;3,70;3,18;2,12;;1st stage;;;;;;;;;;
86;18.06.10;2010;16:00;England;ENG;Algeria;ALG;0;0;X;1,23;5,61;15,39;;1st stage;;;;;;;;;;
87;18.06.10;2010;20:30;Germany;GER;Serbia;SRB;0;1;2;1,63;3,75;5,75;;1st stage;;;;;;;;;;
88;19.06.10;2010;13:30;Ghana;GHA;Australia;AUS;1;1;X;2,33;3,13;3,23;;1st stage;;;;;;;;;;
89;19.06.10;2010;16:00;Netherlands;NED;Japan;JPN;1;0;1;1,43;4,12;8,63;;1st stage;;;;;;;;;;
90;19.06.10;2010;20:30;Cameroon;CMR;Denmark;DEN;1;2;2;2,88;3,16;2,54;;1st stage;;;;;;;;;;
91;20.06.10;2010;13:30;Slovakia;SVK;Paraguay;PAR;0;2;2;3,83;3,21;2,06;;1st stage;;;;;;;;;;
92;20.06.10;2010;16:00;Italy;ITA;New Zealand;NZD;1;1;X;1,21;5,88;16,07;;1st stage;;;;;;;;;;
93;20.06.10;2010;20:30;Brazil;BRA;Ivory Cost;CIV;3;1;1;1,72;3,45;5,40;;1st stage;;;;;;;;;;
94;21.06.10;2010;13:30;Portugal;POR;North Korea;NKO;7;0;1;1,37;4,42;9,82;;1st stage;;;;;;;;;;
95;21.06.10;2010;16:00;Chile;CHI;Switzerland;SUI;1;0;1;2,15;3,14;3,65;;1st stage;;;;;;;;;;
96;21.06.10;2010;20:30;Spain;ESP;Honduras;HON;2;0;1;1,11;8,58;23,00;;1st stage;;;;;;;;;;
97;22.06.10;2010;16:00;Mexico;MEX;Uruguay;URU;0;1;1;3,73;1,94;3,67;;1st stage;;;;;;;;;;
98;22.06.10;2010;16:00;France;FRA;South Africa;ZAF;1;2;2;2,10;3,40;3,48;;1st stage;;;;;;;;;;
99;22.06.10;2010;20:30;Nigeria;NIG;South Korea;KOR;2;2;X;2,94;3,27;2,44;;1st stage;;;;;;;;;;
100;22.06.10;2010;20:30;Greece;GRE;Argentina;ARG;0;2;2;7,30;4,10;1,48;;1st stage;;;;;;;;;;
101;23.06.10;2010;16:00;Slovenia;SVN;England;ENG;0;1;2;7,91;4,20;1,44;;1st stage;;;;;;;;;;
102;23.06.10;2010;16:00;USA;USA;Algeria;ALG;1;0;1;1,87;3,56;4,17;;1st stage;;;;;;;;;;
103;23.06.10;2010;20:30;Ghana;GHA;Germany;GER;0;1;2;7,63;4,26;1,45;;1st stage;;;;;;;;;;
104;23.06.10;2010;20:30;Australia;AUS;Serbia;SRB;2;1;1;4,34;3,56;1,84;;1st stage;;;;;;;;;;
105;24.06.10;2010;16:00;Denmark;DEN;Japan;JPN;1;3;2;2,23;3,22;3,37;;1st stage;;;;;;;;;;
106;24.06.10;2010;16:00;Cameroon;CMR;Netherlands;NED;1;2;2;5,39;3,78;1,65;;1st stage;;;;;;;;;;
107;24.06.10;2010;20:30;Slovakia;SVK;Italy;ITA;3;2;1;6,91;3,80;1,54;;1st stage;;;;;;;;;;
108;24.06.10;2010;20:30;Paraguay;PAR;New Zealand;NZD;0;0;X;1,39;4,43;9,08;;1st stage;;;;;;;;;;
109;25.06.10;2010;16:00;Portugal;POR;Brazil;BRA;0;0;X;3,51;2,93;2,33;;1st stage;;;;;;;;;;
110;25.06.10;2010;16:00;North Korea;NKO;Ivory Cost;CIV;0;3;2;9,03;4,94;1,35;;1st stage;;;;;;;;;;
111;25.06.10;2010;20:30;Chile;CHI;Spain;ESP;1;2;2;6,90;4,17;1,48;;1st stage;;;;;;;;;;
112;25.06.10;2010;20:30;Switzerland;SUI;Honduras;HON;0;0;X;1,53;4,00;6,57;;1st stage;;;;;;;;;;
113;26.06.10;2010;16:00;Uruguay;URU;South Korea;KOR;2;1;1;1,84;3,29;4,82;;Round of 16;;;;;;;;;;
114;26.06.10;2010;20:30;USA;USA;Ghana;GHA;1;1;X;2,40;3,07;3,18;;Round of 16;;;;;;;;;;
115;27.06.10;2010;16:00;Germany;GER;England;ENG;4;1;1;2,92;3,05;2,60;;Round of 16;;;;;;;;;;
116;27.06.10;2010;20:30;Argentina;ARG;Mexico;MEX;3;1;1;1,61;3,69;6,11;;Round of 16;;;;;;;;;;
117;28.06.10;2010;16:00;Netherlands;NED;Slovakia;SVK;2;1;1;1,39;4,41;9,33;;Round of 16;;;;;;;;;;
118;28.06.10;2010;20:30;Brazil;BRA;Chile;CHI;3;0;1;1,52;3,93;6,79;;Round of 16;;;;;;;;;;
119;29.06.10;2010;16:00;Paraguay;PAR;Japan;JPN;0;0;X;2,18;3,14;3,60;;Round of 16;;;;;;;;;;
120;29.06.10;2010;20:30;Spain;ESP;Portugal;POR;1;0;1;1,98;3,19;4,16;;Round of 16;;;;;;;;;;
121;02.07.10;2010;16:00;Netherlands;NED;Brazil;BRA;2;1;1;4,09;3,28;1,97;;Quarter-finals;;;;;;;;;;
122;02.07.10;2010;20:30;Uruguay;URU;Ghana;GHA;1;1;X;1,87;3,28;4,44;;Quarter-finals;;;;;;;;;;
123;03.07.10;2010;16:00;Argentina;ARG;Germany;GER;0;4;2;2,31;3,24;3,17;;Quarter-finals;;;;;;;;;;
124;03.07.10;2010;20:30;Paraguay;PAR;Spain;ESP;0;1;2;8,67;4,23;1,42;;Quarter-finals;;;;;;;;;;
125;06.07.10;2010;20:30;Uruguay;URU;Netherlands;NED;2;3;2;5,62;3,52;1,68;;Semi-finals;;;;;;;;;;
126;07.07.10;2010;20:30;Germany;GER;Spain;ESP;0;1;2;2,77;3,34;2,54;;Semi-finals;;;;;;;;;;
127;10.07.10;2010;20:30;Uruguay;URU;Germany;GER;2;3;2;3,89;3,63;1,91;;Third place;;;;;;;;;;
128;11.07.10;2010;20:30;Netherlands;NED;Spain;ESP;0;0;X;3,83;3,34;2,02;;Final;;;;;;;;;;
129;12.06.14;2014;17:00;Brazil;BRA;Croatia;CRO;3;1;1;1,32;5,18;11,51;;1st stage;;;;;;;;;;
130;13.06.14;2014;13:00;Mexico;MEX;Cameroon;CMR;1;0;1;2,18;3,14;3,80;;1st stage;;;;;;;;;;
131;13.06.14;2014;16:00;Spain;ESP;Netherlands;NED;1;5;2;1,83;3,36;5,11;;1st stage;;;;;;;;;;
