Match_ID;Date;HomeTeam;AwayTeam;Home Team Goals;Away Team Goals;Match Result;Referee;Home Team Shots;Away Team Shots;Home Team Shots on Target;Away Team Shots on Target;Home Fouls Committed;Away Fouls Committed;Home Corners;Away Cornners;Home Yellow Cards;Away Yellow Cards;Home Red Cards;Away Red Cards;B365 Home;B365 Draw;B365 Away;Bet&Win Home;Bet&Win Draw;Bet&Win Away;Interwetten Home;Iterwetten Draw;Interwetten Away;William Hill Home;William Hill Draw;William Hill Away;VC Bet Home;VC Bet Draw;VC Bet Away;Betbrain Numbers of bookmakers 1X2;Betbrain Maximum Home;Betbrain Average Home;Betbrain Maximum Draw;Betbrain Average Draw;Betbrain Maximum Away;Betbrain Average Away;Betbrain Numbers of bookmakers Goals;Betbrain Max > 2.5 Goals;Betbrain Average > 2.5 Goals;Betbrain Max < 2.5 Goals;Betbrain Average < 2.5 Goals
2281;16.08.2014;Arsenal;Crystal Palace;2;1;H;J Moss;14;4;6;2;13;19;9;3;2;2;0;1;1.25;6.5;15;1.25;5.5;12;1.3;5;9;1.25;5.5;12;1.25;6.25;10.5;50;1.3;1.25;6.7;5.96;16;12.43;48;1.77;1.72;2.26;2.1
2282;16.08.2014;Leicester;Everton;2;2;D;M Jones;11;13;3;3;16;10;3;6;1;1;0;0;3.2;3.4;2.4;2.9;3.2;2.4;2.9;3.3;2.3;3.1;3.1;2.4;3.2;3.4;2.4;50;3.3;3.06;3.45;3.32;2.42;2.36;48;2.1;2;1.9;1.8
2283;16.08.2014;Man United;Swansea;1;2;A;M Dean;14;5;5;4;14;20;4;0;2;4;0;0;1.36;5;11;1.4;4.75;9;1.33;5;8;1.36;4.5;9;1.36;5.2;10;50;1.38;1.34;5.5;4.96;11.03;9.32;48;1.77;1.71;2.3;2.13
2284;16.08.2014;QPR;Hull;0;1;A;C Pawson;19;11;6;4;10;10;8;9;1;2;0;0;2.5;3.3;3.1;2.5;3.1;2.85;2.3;3.3;2.9;2.6;3;2.9;2.55;3.2;3.12;50;2.6;2.47;3.4;3.18;3.2;3.02;46;2.52;2.36;1.65;1.58
2285;16.08.2014;Stoke;Aston Villa;0;1;A;A Taylor;12;7;2;2;14;9;2;8;0;3;0;0;1.95;3.5;4.5;1.95;3.3;3.9;2;3.3;3.6;1.95;3.2;4.2;1.95;3.3;4.75;50;2;1.92;3.5;3.38;4.8;4.27;44;2.42;2.31;1.67;1.6
2286;16.08.2014;West Brom;Sunderland;2;2;D;N Swarbrick;10;7;5;2;18;9;6;3;3;1;0;0;2.25;3.4;3.5;2.3;3.25;3.1;2.2;3.3;3.1;2.3;3.1;3.3;2.25;3.3;3.6;50;2.3;2.23;3.5;3.31;3.7;3.34;48;2.29;2.14;1.76;1.7
2287;16.08.2014;West Ham;Tottenham;0;1;A;C Foy;18;10;4;4;12;10;8;5;1;0;1;1;3.8;3.6;2.05;3.5;3.4;2.05;3.1;3.3;2.2;3.75;3.3;2.05;4;3.5;2.05;49;4.05;3.74;3.62;3.43;2.2;2.03;47;2.08;1.98;1.92;1.82
2288;17.08.2014;Liverpool;Southampton;2;1;H;M Clattenburg;12;12;5;6;8;11;2;6;1;2;0;0;1.33;5.75;10;1.36;4.5;8.75;1.35;4.8;7.6;1.36;4.5;9;1.36;5.25;10;49;1.38;1.34;5.8;5.16;11;9;41;1.66;1.6;2.54;2.3
2289;17.08.2014;Newcastle;Man City;0;2;A;M Atkinson;12;13;0;5;8;11;3;3;1;5;0;0;5.25;4.33;1.67;4.75;3.8;1.67;4.9;3.7;1.65;5;3.75;1.67;5.5;4.1;1.67;50;5.97;5.24;4.33;4;1.67;1.64;44;1.73;1.66;2.36;2.19
2290;18.08.2014;Burnley;Chelsea;1;3;A;M Oliver;9;11;2;3;6;7;4;3;1;1;0;0;9;5;1.4;7.5;4.6;1.4;6.8;4.6;1.4;9;4.2;1.4;10;4.8;1.4;48;11;8.72;5.1;4.63;1.42;1.39;46;1.95;1.85;2.05;1.94
2291;23.08.2014;Aston Villa;Newcastle;0;0;D;M Dean;9;11;0;4;11;8;7;7;4;0;0;1;2.5;3.4;3;2.6;3.25;2.9;2.3;3.3;2.9;2.45;3.25;2.9;2.5;3.3;3.1;51;2.65;2.5;3.45;3.27;3.11;2.92;49;2.2;2.1;1.8;1.72
2292;23.08.2014;Chelsea;Leicester;2;0;H;L Mason;27;6;10;4;11;11;8;7;0;1;0;0;1.2;7.5;17;1.25;6.25;12.5;1.22;5.5;12;1.22;5.5;15;1.22;7;17;51;1.24;1.2;7.8;6.79;18.48;14.59;42;1.57;1.52;2.64;2.46
2293;23.08.2014;Crystal Palace;West Ham;1;3;A;M Clattenburg;9;17;4;8;14;11;6;9;1;3;0;0;2.5;3.3;3.1;2.5;3;2.95;2.3;3.3;2.9;2.5;3.2;2.8;2.5;3.2;3.2;51;2.52;2.44;3.31;3.18;3.35;3.07;41;2.62;2.45;1.61;1.54
2294;23.08.2014;Everton;Arsenal;2;2;D;K Friend;8;13;2;3;10;18;3;3;1;4;0;0;2.8;3.4;2.7;2.75;3.25;2.7;2.75;3.3;2.4;2.7;3.1;2.7;2.7;3.4;2.8;50;2.82;2.71;3.5;3.3;2.78;2.65;48;1.94;1.83;2.08;1.97
2295;23.08.2014;Southampton;West Brom;0;0;D;R East;8;8;2;2;14;15;1;5;1;2;0;0;1.85;3.7;4.75;1.87;3.75;4.2;1.95;3.35;3.7;1.91;3.2;4.5;1.87;3.7;4.5;50;1.95;1.86;3.8;3.52;4.8;4.43;48;1.99;1.89;2.02;1.91
2296;23.08.2014;Swansea;Burnley;1;0;H;C Pawson;10;12;5;1;14;13;2;3;2;1;0;0;1.65;4;6;1.7;3.6;5.75;1.7;3.6;4.7;1.67;3.4;6;1.65;4;6;50;1.7;1.64;4.11;3.83;6.25;5.65;48;1.91;1.84;2.08;1.96
2297;24.08.2014;Hull;Stoke;1;1;D;J Moss;9;19;2;3;10;10;4;5;1;3;1;0;2.5;3.25;3.2;2.55;3.2;2.95;2.3;3.3;2.9;2.5;3.2;2.8;2.5;3.1;3.3;51;2.6;2.44;3.3;3.16;3.31;3.1;42;2.7;2.51;1.56;1.5
2298;24.08.2014;Sunderland;Man United;1;1;D;M Atkinson;11;10;3;3;10;15;4;4;0;2;0;0;5;4;1.75;4.4;3.75;1.83;4.9;3.7;1.65;4.5;3.5;1.8;5;3.9;1.75;50;5.25;4.8;4;3.68;1.81;1.76;48;1.95;1.86;2.04;1.94
2299;24.08.2014;Tottenham;QPR;4;0;H;A Taylor;18;9;5;1;12;6;7;6;0;1;0;0;1.45;4.75;8;1.48;4.25;7.75;1.45;4;7;1.5;4;7;1.5;4.4;7.5;50;1.51;1.46;4.77;4.37;8.2;7.21;49;1.83;1.76;2.18;2.03
2300;25.08.2014;Man City;Liverpool;3;1;H;M Oliver;9;11;4;3;13;7;6;7;1;1;0;0;1.85;4;4.33;1.87;3.9;4;1.85;3.45;4;1.85;3.4;4.33;1.85;4;4.3;48;1.88;1.83;4.1;3.72;4.5;4.26;45;1.7;1.61;2.52;2.29
2301;30.08.2014;Burnley;Man United;0;0;D;C Foy;9;7;3;2;10;14;3;6;2;2;0;0;6;4.2;1.62;5.75;4;1.62;5.6;3.9;1.55;6.5;3.4;1.62;6.25;4;1.62;50;6.54;5.97;4.27;3.89;1.67;1.6;47;2;1.91;1.95;1.89
2302;30.08.2014;Everton;Chelsea;3;6;A;J Moss;17;12;7;8;7;16;8;2;1;3;0;0;3.75;3.3;2.2;3.5;3.3;2.2;3.6;3.3;2;3.6;2.88;2.25;3.7;3.4;2.15;50;3.84;3.56;3.5;3.31;2.22;2.15;47;2.19;2.07;1.81;1.75
2303;30.08.2014;Man City;Stoke;0;1;A;L Mason;16;7;2;2;14;5;11;4;2;1;0;0;1.18;8;18;1.18;6.5;14.5;1.2;5.8;13;1.2;5.5;21;1.2;7;20;49;1.21;1.19;8;7.04;21;15.58;37;1.6;1.54;2.58;2.44
2304;30.08.2014;Newcastle;Crystal Palace;3;3;D;M Jones;18;12;4;7;12;19;11;4;1;3;0;0;1.75;3.75;5.25;1.75;3.5;4.75;1.75;3.5;4.5;1.75;3.2;5.5;1.75;3.6;5.75;50;1.77;1.72;3.8;3.6;5.8;5.22;46;2.28;2.18;1.74;1.67
