Match_ID;Date;HomeTeam;AwayTeam;Home Team Goals;Away Team Goals;Match Result;Referee;Home Team Shots;Away Team Shots;Home Team Shots on Target;Away Team Shots on Target;Home Fouls Committed;Away Fouls Committed;Home Corners;Away Cornners;Home Yellow Cards;Away Yellow Cards;Home Red Cards;Away Red Cards;B365 Home;B365 Draw;B365 Away;Bet&Win Home;Bet&Win Draw;Bet&Win Away;Interwetten Home;Iterwetten Draw;Interwetten Away;William Hill Home;William Hill Draw;William Hill Away;VC Bet Home;VC Bet Draw;VC Bet Away;Betbrain Numbers of bookmakers 1X2;Betbrain Maximum Home;Betbrain Average Home;Betbrain Maximum Draw;Betbrain Average Draw;Betbrain Maximum Away;Betbrain Average Away;Betbrain Numbers of bookmakers Goals;Betbrain Max > 2.5 Goals;Betbrain Average > 2.5 Goals;Betbrain Max < 2.5 Goals;Betbrain Average < 2.5 Goals
3041;13.08.2016;Burnley;Swansea;0;1;A;J Moss;10;17;3;9;10;14;7;4;3;2;0;0;2.4;3.3;3.25;2.45;3.1;2.95;2.5;3.3;2.65;2.5;3.2;2.9;2.5;3.2;3.25;55;2.55;2.43;3.35;3.21;3.3;3.1;40;2.4;2.3;1.68;1.61
3042;13.08.2016;Crystal Palace;West Brom;0;1;A;C Pawson;14;13;4;3;12;15;3;6;2;2;0;0;2;3.3;4.5;2;3.2;3.9;2.1;3.3;3.3;2.05;3.1;4;2;3.3;4.4;56;2.1;2.01;3.4;3.23;4.5;4.16;38;2.68;2.5;1.6;1.52
3043;13.08.2016;Everton;Tottenham;1;1;D;M Atkinson;12;13;6;4;10;14;5;6;0;0;0;0;3.2;3.4;2.4;2.95;3.2;2.4;2.65;3.3;2.5;3.1;3.1;2.4;3.25;3.4;2.38;55;3.3;3.12;3.45;3.32;2.5;2.36;41;2.12;2.05;1.87;1.77
3044;13.08.2016;Hull;Leicester;2;1;H;M Dean;14;18;5;5;8;17;5;3;2;2;0;0;4.5;3.6;1.91;4.33;3.4;1.9;3.3;3.3;2.1;4.2;3.25;1.95;4.4;3.5;1.95;55;4.5;4.17;3.6;3.43;2.33;1.95;40;2.3;2.19;1.74;1.67
3045;13.08.2016;Man City;Sunderland;2;1;H;R Madley;16;7;4;3;11;14;9;6;1;2;0;0;1.25;6.5;15;1.22;6;11.5;1.25;5.5;10.3;1.25;5.5;13;1.25;6.5;15;56;1.3;1.25;6.8;6.11;15;12.55;39;1.56;1.53;2.67;2.48
3046;13.08.2016;Middlesbrough;Stoke;1;1;D;K Friend;12;12;2;1;18;14;9;6;3;5;0;0;2.38;3.2;3.4;2.25;3.1;3.25;2.3;3.3;2.9;2.4;3.1;3.1;2.38;3.2;3.4;56;2.4;2.31;3.3;3.16;3.65;3.38;38;2.61;2.46;1.57;1.53
3047;13.08.2016;Southampton;Watford;1;1;D;R East;24;5;6;1;8;12;6;2;1;2;0;1;1.8;3.75;5;1.8;3.4;4.5;1.8;3.5;4.2;1.83;3.4;4.5;1.83;3.6;5;56;1.88;1.82;3.8;3.56;5;4.62;42;2.13;2.06;1.83;1.75
3048;14.08.2016;Arsenal;Liverpool;3;4;A;M Oliver;9;16;5;7;13;17;5;4;3;3;0;0;2.4;3.5;3.1;2.35;3.3;2.9;2.3;3.3;2.9;2.5;3.1;3;2.4;3.5;3.1;55;2.5;2.36;3.55;3.42;3.2;3.04;42;1.98;1.81;2.09;1.99
3049;14.08.2016;Bournemouth;Man United;1;3;A;A Marriner;9;11;3;7;7;10;4;2;0;1;0;0;4.75;3.6;1.85;4.6;3.5;1.75;4.5;3.5;1.75;4.5;3.4;1.85;4.75;3.6;1.87;55;5;4.5;3.75;3.51;1.95;1.86;42;2.11;2.05;1.87;1.76
3050;15.08.2016;Chelsea;West Ham;2;1;H;A Taylor;16;7;6;3;16;16;7;1;5;2;0;0;1.65;4;6;1.6;3.75;5.5;1.65;3.6;5.1;1.67;3.6;5.5;1.65;4.1;5.75;52;1.71;1.64;4.25;3.97;6;5.46;40;1.97;1.8;2.09;2.01
3051;19.08.2016;Man United;Southampton;2;0;H;A Taylor;12;13;5;1;11;8;4;0;0;0;0;0;1.53;4.2;7.5;1.48;4.33;8;1.4;4.4;7.3;1.44;4.33;7.5;1.55;4.1;7.5;56;1.62;1.52;4.45;4.17;8;7.06;43;2.03;1.94;1.96;1.86
3052;20.08.2016;Burnley;Liverpool;2;0;H;L Mason;3;26;2;5;14;5;1;12;0;1;0;0;6.5;4.2;1.57;6.5;4;1.55;5.6;3.9;1.55;7;3.5;1.57;7;4.2;1.55;55;7.12;6.43;4.35;4.09;1.6;1.55;42;1.92;1.86;2.01;1.93
3053;20.08.2016;Leicester;Arsenal;0;0;D;M Clattenburg;8;13;1;4;11;7;2;7;1;2;0;0;2.88;3.6;2.5;2.75;3.6;2.45;2.75;3.3;2.4;2.88;3.2;2.5;2.9;3.6;2.5;56;3;2.87;3.63;3.48;2.55;2.45;42;1.74;1.69;2.24;2.16
3054;20.08.2016;Stoke;Man City;1;4;A;M Dean;8;12;3;6;12;13;7;7;3;4;0;0;5.5;3.8;1.73;5.25;3.8;1.67;4.7;3.6;1.7;5;3.5;1.73;5.4;3.9;1.73;57;5.63;5.11;4;3.81;1.76;1.7;43;1.84;1.76;2.14;2.05
3055;20.08.2016;Swansea;Hull;0;2;A;S Attwell;13;12;3;4;7;10;8;3;0;0;0;0;1.8;3.6;5.25;1.75;3.6;5;1.8;3.5;4.2;1.83;3.2;4.8;1.8;3.6;5.25;56;1.86;1.79;3.7;3.54;5.5;4.95;39;2.3;2.23;1.7;1.64
3056;20.08.2016;Tottenham;Crystal Palace;1;0;H;M Oliver;20;10;5;2;19;9;10;4;3;3;0;0;1.45;4.75;8;1.44;4.5;7.75;1.5;4;6.1;1.5;3.6;8.5;1.45;4.75;8;56;1.51;1.46;4.78;4.48;8.5;7.49;43;1.9;1.77;2.15;2.04
3057;20.08.2016;Watford;Chelsea;1;2;A;J Moss;6;13;2;4;20;10;0;5;4;3;0;0;5.5;3.8;1.73;5.5;3.7;1.67;4.2;3.5;1.8;5.5;3.3;1.73;5.75;3.75;1.73;56;5.75;5.22;3.85;3.66;1.8;1.72;42;2.16;2.08;1.88;1.74
3058;20.08.2016;West Brom;Everton;1;2;A;N Swarbrick;11;13;4;7;16;10;7;4;3;1;0;0;3;3.25;2.6;2.95;3.1;2.55;2.85;3.2;2.4;2.7;3.2;2.62;3.13;3.2;2.55;56;3.13;2.97;3.3;3.15;2.7;2.56;40;2.51;2.38;1.62;1.57
3059;21.08.2016;Sunderland;Middlesbrough;1;2;A;M Atkinson;18;8;5;3;11;14;8;1;1;1;0;0;2.55;3.2;3.1;2.5;3.1;3.1;2.3;3.2;3;2.6;3.2;2.75;2.63;3.13;3.1;56;2.64;2.52;3.25;3.16;3.25;3.02;39;2.5;2.38;1.64;1.57
3060;21.08.2016;West Ham;Bournemouth;1;0;H;C Pawson;15;8;2;5;15;15;1;6;3;1;0;1;1.95;3.75;4;1.91;3.6;4;1.8;3.5;4.2;1.91;3.2;4.33;1.95;3.75;4;55;2.03;1.94;3.85;3.62;4.33;3.96;42;1.88;1.78;2.1;2.02
3061;27.08.2016;Chelsea;Burnley;3;0;H;M Clattenburg;22;6;10;0;6;9;9;5;2;2;0;0;1.25;5.5;15;1.25;6;12;1.25;5.5;10.3;1.29;5;12;1.25;6;15;54;1.3;1.25;6.35;5.72;15.25;13.7;41;1.79;1.72;2.17;2.09
3062;27.08.2016;Crystal Palace;Bournemouth;1;1;D;M Dean;24;10;5;3;15;10;10;4;2;1;0;0;2.3;3.2;3.3;2.35;3.2;3.2;2.4;3.3;2.75;2.38;3.2;3.1;2.38;3.3;3.4;54;2.4;2.31;3.4;3.28;3.4;3.24;41;2.25;2.16;1.75;1.68
3063;27.08.2016;Everton;Stoke;1;0;H;M Oliver;21;8;9;1;14;11;9;2;2;1;0;0;1.73;3.6;5.25;1.72;3.75;5;1.7;3.6;4.7;1.75;3.6;4.75;1.73;3.8;5.5;54;1.77;1.72;3.8;3.66;5.7;5.17;42;2.05;1.96;1.91;1.82
3064;27.08.2016;Hull;Man United;0;1;A;J Moss;8;29;2;9;9;6;1;6;2;3;0;0;8;4.1;1.44;7;4.5;1.45;6.1;4;1.5;7;4;1.5;8.5;4.5;1.45;55;8.5;7.8;4.6;4.28;1.52;1.46;43;2.07;1.98;1.9;1.81
3065;27.08.2016;Leicester;Swansea;2;1;H;R East;13;9;6;3;14;10;4;6;2;2;0;0;1.73;3.6;5.25;1.72;3.75;5;1.75;3.5;4.5;1.73;3.6;5;1.73;3.75;5.5;54;1.78;1.72;3.88;3.69;5.57;5.11;41;2.15;2.07;1.83;1.74
3066;27.08.2016;Southampton;Sunderland;1;1;D;L Mason;16;5;7;2;15;8;5;5;2;2;0;0;1.57;3.6;6.5;1.6;3.9;6;1.65;3.6;5.1;1.62;3.6;6;1.62;4;6.5;54;1.65;1.6;4.15;3.88;6.65;6.16;41;2.15;2.08;1.81;1.73
3067;27.08.2016;Tottenham;Liverpool;1;1;D;R Madley;11;13;4;3;11;17;5;5;3;5;0;0;2.38;3.4;3;2.4;3.5;2.9;2.4;3.3;2.75;2.38;3.4;2.9;2.4;3.5;3.1;55;2.5;2.37;3.57;3.43;3.17;3.01;42;1.83;1.75;2.11;2.05
3068;27.08.2016;Watford;Arsenal;1;3;A;K Friend;14;10;6;7;18;15;3;2;6;1;0;0;5;3.75;1.73;5;3.75;1.72;4.5;3.5;1.75;4.6;3.75;1.73;5.25;3.9;1.73;55;5.5;5.12;3.91;3.72;1.78;1.72;43;2;1.91;1.97;1.87
3069;28.08.2016;Man City;West Ham;3;1;H;A Marriner;22;9;5;2;5;10;5;4;1;3;0;0;1.25;6;11;1.28;6;10;1.25;5.5;10.3;1.3;5.5;9.5;1.3;6;11;52;1.33;1.28;6.3;5.75;12;10.65;41;1.55;1.49;2.85;2.57
3070;28.08.2016;West Brom;Middlesbrough;0;0;D;A Taylor;13;7;2;2;12;11;5;4;1;3;0;0;2.6;3.1;2.9;2.5;3.1;3.1;2.5;3.2;2.75;2.6;2.9;3;2.63;3;3.2;54;2.63;2.56;3.2;3.06;3.25;3.04;39;2.73;2.57;1.55;1.49
3071;10.09.2016;Arsenal;Southampton;2;1;H;R Madley;17;11;2;5;10;8;6;1;2;5;0;0;1.57;4.2;6.5;1.55;4.2;6;1.55;3.9;5.6;1.62;3.5;6.5;1.57;4.33;6.5;56;1.63;1.57;4.39;4.15;6.5;5.98;45;1.85;1.79;2.1;2.02
