Match_ID;Date;HomeTeam;AwayTeam;Home Team Goals;Away Team Goals;Match Result;Referee;Home ex-rank;Home Team Shots;Away ex-rank;Away Team Shots;Home Team Shots on Target;Away Team Shots on Target;Home Fouls Committed;Away Fouls Committed;Home Corners;Away Cornners;Home Yellow Cards;Away Yellow Cards;Home Red Cards;Away Red Cards;B365 Home;B365 Draw;B365 Away;Bet&Win Home;Bet&Win Draw;Bet&Win Away;Interwetten Home;Iterwetten Draw;Interwetten Away;William Hill Home;William Hill Draw;William Hill Away;VC Bet Home;VC Bet Draw;VC Bet Away;Betbrain Numbers of bookmakers 1X2;Betbrain Maximum Home;Betbrain Average Home;Betbrain Maximum Draw;Betbrain Average Draw;Betbrain Maximum Away;Betbrain Average Away;Betbrain Numbers of bookmakers Goals;Betbrain Max > 2.5 Goals;Betbrain Average > 2.5 Goals;Betbrain Max < 2.5 Goals;Betbrain Average < 2.5 Goals
4159;28.04.19;Leicester;Arsenal;3;0;H;M Oliver;9;24;6;6;12;1;13;13;8;6;3;1;0;1;2.75;3.6;2.6;2.7;3.6;2.5;2.6;3.6;2.55;2.62;3.6;2.55;2.75;3.6;2.55;35;2.75;2.68;3.77;3.63;2.65;2.54;33;1.65;1.61;2.45;2.33
4172;12.05.19;Burnley;Arsenal;1;3;A;M Dean;7;14;6;17;5;6;11;3;4;5;5;1;0;0;3.25;3.8;2.2;3.1;3.75;2.15;3.1;3.75;2.15;3.1;3.7;2.2;3.13;3.8;2.2;34;3.3;3.14;3.9;3.74;2.3;2.2;32;1.61;1.57;2.55;2.39
3816;18.08.18;West Ham;Bournemouth;1;2;A;S Attwell;13;11;12;12;5;5;14;10;6;4;6;2;0;0;2.1;3.6;3.7;2.1;3.3;3.75;2.05;3.55;3.55;2.05;3.6;3.4;2.1;3.6;3.7;41;2.15;2.08;3.67;3.53;3.75;3.56;40;1.85;1.78;2.14;2.04
3832;01.09.18;Chelsea;Bournemouth;2;0;H;L Mason;5;24;12;8;6;1;10;7;7;6;2;2;0;0;1.3;6;11;1.28;6;9.5;1.27;6;10;1.29;5.8;8.5;1.3;6;11;39;1.33;1.29;6.3;5.88;11;9.9;33;1.45;1.42;3;2.82
3852;22.09.18;Burnley;Bournemouth;4;0;H;A Taylor;7;12;12;19;5;5;17;6;3;8;2;0;0;0;3;3.4;2.5;2.8;3.25;2.6;2.8;3.3;2.55;2.8;3.3;2.5;2.9;3.4;2.6;40;3;2.87;3.42;3.32;2.62;2.55;39;2.1;2.02;1.86;1.8
3877;06.10.18;Watford;Bournemouth;0;4;A;J Moss;14;14;12;10;2;7;11;9;10;7;3;1;1;0;2.14;3.6;3.5;2.1;3.6;3.4;2.1;3.55;3.4;2.15;3.5;3.3;2.15;3.6;3.5;36;2.16;2.13;3.7;3.55;3.68;3.45;35;1.81;1.77;2.15;2.06
3892;27.10.18;Fulham;Bournemouth;0;3;A;A Marriner;23;11;12;12;1;5;16;3;5;5;2;1;1;0;2.9;3.75;2.4;2.7;3.75;2.4;2.8;3.4;2.5;2.75;3.7;2.4;2.88;3.8;2.4;38;2.95;2.85;3.85;3.69;2.5;2.38;33;1.56;1.53;2.65;2.48
3915;10.11.18;Newcastle;Bournemouth;2;1;H;L Probert;10;18;12;14;6;4;9;11;7;10;2;1;0;0;2.9;3.4;2.6;2.75;3.3;2.6;2.7;3.3;2.6;2.75;3.4;2.55;2.9;3.3;2.63;38;2.94;2.81;3.45;3.33;2.68;2.59;36;2.1;2;1.9;1.82
3935;01.12.18;Man City;Bournemouth;3;1;H;S Attwell;1;16;12;4;6;1;9;3;8;4;0;0;0;0;1.11;11;26;1.1;10;23;1.12;9;20;1.1;10;23;1.13;10.5;23;38;1.14;1.11;11.25;10.11;26;22.4;32;1.3;1.25;4.15;3.86
3967;15.12.18;Wolves;Bournemouth;2;0;H;S Hooper;21;9;12;13;3;3;15;7;5;3;1;2;0;0;1.95;3.6;4.33;1.95;3.5;4;2;3.4;3.8;1.95;3.5;4;1.95;3.6;4.1;34;2.03;1.96;3.65;3.51;4.35;4.09;34;1.97;1.89;2;1.91
