Match_ID;Date;HomeTeam;AwayTeam;Home Team Goals;Away Team Goals;Match Result;Referee;Home Team Shots;Away Team Shots;Home Team Shots on Target;Away Team Shots on Target;Home Fouls Committed;Away Fouls Committed;Home Corners;Away Cornners;Home Yellow Cards;Away Yellow Cards;Home Red Cards;Away Red Cards;B365 Home;B365 Draw;B365 Away;Bet&Win Home;Bet&Win Draw;Bet&Win Away;Interwetten Home;Iterwetten Draw;Interwetten Away;William Hill Home;William Hill Draw;William Hill Away;VC Bet Home;VC Bet Draw;VC Bet Away;Betbrain Numbers of bookmakers 1X2;Betbrain Maximum Home;Betbrain Average Home;Betbrain Maximum Draw;Betbrain Average Draw;Betbrain Maximum Away;Betbrain Average Away;Betbrain Numbers of bookmakers Goals;Betbrain Max > 2.5 Goals;Betbrain Average > 2.5 Goals;Betbrain Max < 2.5 Goals;Betbrain Average < 2.5 Goals
3421;11.08.2017;Arsenal;Leicester;4;3;H;M Dean;27;6;10;3;9;12;9;4;0;1;0;0;1.53;4.5;6.5;1.5;4.6;6.75;1.47;4.5;6.5;1.53;4.2;6;1.53;4.5;6.5;41;1.55;1.51;4.6;4.43;6.89;6.44;37;1.65;1.61;2.43;2.32
3422;12.08.2017;Brighton;Man City;0;2;A;M Oliver;6;14;2;4;6;9;3;10;0;2;0;0;11;5.5;1.33;11;5.25;1.3;8;5.3;1.35;10;4.8;1.33;10;5.5;1.33;40;11.5;10.1;5.6;5.25;1.36;1.32;35;1.7;1.63;2.4;2.27
3423;12.08.2017;Chelsea;Burnley;2;3;A;C Pawson;19;10;6;5;16;11;8;5;3;3;2;0;1.25;6.5;15;1.22;6.5;12.5;1.22;6.2;13.5;1.25;5.5;13;1.25;6.25;15;41;1.27;1.24;6.55;6.06;15.5;13.67;36;1.71;1.66;2.33;2.23
3424;12.08.2017;Crystal Palace;Huddersfield;0;3;A;J Moss;14;8;4;6;7;19;12;9;1;3;0;0;1.83;3.6;5;1.8;3.5;4.75;1.85;3.5;4.3;1.8;3.3;5;1.83;3.6;5;41;1.86;1.81;3.65;3.5;5.11;4.82;36;2.19;2.11;1.79;1.72
3425;12.08.2017;Everton;Stoke;1;0;H;N Swarbrick;9;9;4;1;13;10;6;7;1;1;0;0;1.7;3.8;5.75;1.7;3.6;5.5;1.7;3.7;5;1.7;3.5;5.5;1.7;3.8;5.75;40;1.71;1.69;3.85;3.69;6;5.5;35;2.17;2.08;1.8;1.76
3426;12.08.2017;Southampton;Swansea;0;0;D;M Jones;29;4;2;0;10;13;13;0;2;1;0;0;1.62;4;6.5;1.57;4;6;1.65;3.8;5.3;1.62;3.6;6;1.65;4;5.5;41;1.66;1.61;4.05;3.84;6.5;5.98;36;2.17;2.08;1.8;1.75
3427;12.08.2017;Watford;Liverpool;3;3;D;A Taylor;9;14;4;5;14;8;3;3;0;3;0;0;6;4.2;1.62;6;4.2;1.55;5.5;4;1.6;5.5;3.8;1.62;6;4;1.65;41;6.5;5.75;4.3;4.06;1.65;1.6;37;1.89;1.82;2.08;1.99
3428;12.08.2017;West Brom;Bournemouth;1;0;H;R Madley;16;9;6;2;15;3;8;2;3;1;0;0;2.4;3.3;3.3;2.4;3.2;3.1;2.3;3.3;3.15;2.5;3.1;3;2.5;3.3;3.13;41;2.5;2.43;3.3;3.19;3.3;3.11;36;2.25;2.16;1.75;1.7
3429;13.08.2017;Man United;West Ham;4;0;H;M Atkinson;22;9;6;1;19;7;11;1;2;2;0;0;1.3;5.75;12;1.28;5.5;11;1.33;5.3;8.7;1.3;5;11;1.3;5.5;11.5;40;1.35;1.31;5.75;5.29;13;10.74;35;1.76;1.7;2.25;2.16
3430;13.08.2017;Newcastle;Tottenham;0;2;A;A Marriner;6;18;3;6;6;10;5;7;1;2;1;0;5.5;4;1.7;5.25;3.8;1.67;4.8;3.6;1.75;5;3.75;1.7;5.5;4;1.7;41;5.5;5.16;4;3.87;1.75;1.69;36;1.88;1.81;2.07;2.01
